/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_4_4_50_10_81287
Epoch 0, Avg Train Loss: 57.6134, Avg Validation Loss: 44.7054
Epoch 1, Avg Train Loss: 36.5337, Avg Validation Loss: 29.3168
Epoch 2, Avg Train Loss: 24.2495, Avg Validation Loss: 20.2329
Epoch 3, Avg Train Loss: 17.3044, Avg Validation Loss: 14.9996
Epoch 4, Avg Train Loss: 12.8567, Avg Validation Loss: 11.0845
Epoch 5, Avg Train Loss: 9.8750, Avg Validation Loss: 8.8841
Epoch 6, Avg Train Loss: 8.1517, Avg Validation Loss: 7.5330
Epoch 7, Avg Train Loss: 6.9551, Avg Validation Loss: 6.6031
Epoch 8, Avg Train Loss: 6.2489, Avg Validation Loss: 6.0068
Epoch 9, Avg Train Loss: 5.6499, Avg Validation Loss: 5.4948
Epoch 10, Avg Train Loss: 5.1796, Avg Validation Loss: 4.9966
Epoch 11, Avg Train Loss: 4.7594, Avg Validation Loss: 4.6176
Epoch 12, Avg Train Loss: 4.4224, Avg Validation Loss: 4.3243
Epoch 13, Avg Train Loss: 4.1755, Avg Validation Loss: 4.1043
Epoch 14, Avg Train Loss: 3.9606, Avg Validation Loss: 3.9129
Epoch 15, Avg Train Loss: 3.7996, Avg Validation Loss: 3.7454
Epoch 16, Avg Train Loss: 3.6630, Avg Validation Loss: 3.6236
Epoch 17, Avg Train Loss: 3.5302, Avg Validation Loss: 3.5305
Epoch 18, Avg Train Loss: 3.4460, Avg Validation Loss: 3.4449
Epoch 19, Avg Train Loss: 3.3747, Avg Validation Loss: 3.3742
