/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_6_8_64_14_303097
Epoch 0, Avg Train Loss: 16.0304, Avg Validation Loss: 10.8532
Epoch 1, Avg Train Loss: 8.4978, Avg Validation Loss: 6.4627
Epoch 2, Avg Train Loss: 5.2702, Avg Validation Loss: 4.3618
Epoch 3, Avg Train Loss: 3.9818, Avg Validation Loss: 3.7065
Epoch 4, Avg Train Loss: 3.5602, Avg Validation Loss: 3.4377
Epoch 5, Avg Train Loss: 3.3599, Avg Validation Loss: 3.2836
Epoch 6, Avg Train Loss: 3.2346, Avg Validation Loss: 3.1965
Epoch 7, Avg Train Loss: 3.1712, Avg Validation Loss: 3.1516
Epoch 8, Avg Train Loss: 3.1343, Avg Validation Loss: 3.1219
Epoch 9, Avg Train Loss: 3.1079, Avg Validation Loss: 3.0984
Epoch 10, Avg Train Loss: 3.0869, Avg Validation Loss: 3.0777
Epoch 11, Avg Train Loss: 3.0687, Avg Validation Loss: 3.0604
Epoch 12, Avg Train Loss: 3.0522, Avg Validation Loss: 3.0449
Epoch 13, Avg Train Loss: 3.0361, Avg Validation Loss: 3.0297
Epoch 14, Avg Train Loss: 3.0249, Avg Validation Loss: 3.0157
Epoch 15, Avg Train Loss: 3.0124, Avg Validation Loss: 3.0031
Epoch 16, Avg Train Loss: 3.0004, Avg Validation Loss: 2.9928
Epoch 17, Avg Train Loss: 2.9903, Avg Validation Loss: 2.9820
Epoch 18, Avg Train Loss: 2.9799, Avg Validation Loss: 2.9715
Epoch 19, Avg Train Loss: 2.9720, Avg Validation Loss: 2.9633
Epoch 20, Avg Train Loss: 2.9641, Avg Validation Loss: 2.9547
Epoch 21, Avg Train Loss: 2.9559, Avg Validation Loss: 2.9477
Epoch 22, Avg Train Loss: 2.9489, Avg Validation Loss: 2.9414
Epoch 23, Avg Train Loss: 2.9449, Avg Validation Loss: 2.9357
Epoch 24, Avg Train Loss: 2.9368, Avg Validation Loss: 2.9295
Epoch 25, Avg Train Loss: 2.9320, Avg Validation Loss: 2.9254
Epoch 26, Avg Train Loss: 2.9268, Avg Validation Loss: 2.9211
Epoch 27, Avg Train Loss: 2.9216, Avg Validation Loss: 2.9167
Epoch 28, Avg Train Loss: 2.9179, Avg Validation Loss: 2.9140
Epoch 29, Avg Train Loss: 2.9159, Avg Validation Loss: 2.9112
Epoch 30, Avg Train Loss: 2.9109, Avg Validation Loss: 2.9073
Epoch 31, Avg Train Loss: 2.9090, Avg Validation Loss: 2.9059
Epoch 32, Avg Train Loss: 2.9044, Avg Validation Loss: 2.9022
Epoch 33, Avg Train Loss: 2.9026, Avg Validation Loss: 2.8997
Epoch 34, Avg Train Loss: 2.9003, Avg Validation Loss: 2.8979
Epoch 35, Avg Train Loss: 2.8959, Avg Validation Loss: 2.8955
Epoch 36, Avg Train Loss: 2.8939, Avg Validation Loss: 2.8930
Epoch 37, Avg Train Loss: 2.8924, Avg Validation Loss: 2.8906
Epoch 38, Avg Train Loss: 2.8897, Avg Validation Loss: 2.8892
