/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_4_4_32_8_857763
Epoch 0, Avg Train Loss: 13.1370, Avg Validation Loss: 10.1550
Epoch 1, Avg Train Loss: 8.1906, Avg Validation Loss: 6.8607
Epoch 2, Avg Train Loss: 5.8870, Avg Validation Loss: 5.3109
Epoch 3, Avg Train Loss: 4.7927, Avg Validation Loss: 4.5298
Epoch 4, Avg Train Loss: 4.2251, Avg Validation Loss: 4.0940
Epoch 5, Avg Train Loss: 3.9007, Avg Validation Loss: 3.8254
Epoch 6, Avg Train Loss: 3.6986, Avg Validation Loss: 3.6588
Epoch 7, Avg Train Loss: 3.5660, Avg Validation Loss: 3.5453
Epoch 8, Avg Train Loss: 3.4729, Avg Validation Loss: 3.4611
Epoch 9, Avg Train Loss: 3.4009, Avg Validation Loss: 3.3944
Epoch 10, Avg Train Loss: 3.3416, Avg Validation Loss: 3.3378
Epoch 11, Avg Train Loss: 3.2901, Avg Validation Loss: 3.2886
Epoch 12, Avg Train Loss: 3.2459, Avg Validation Loss: 3.2447
Epoch 13, Avg Train Loss: 3.2053, Avg Validation Loss: 3.2055
Epoch 14, Avg Train Loss: 3.1693, Avg Validation Loss: 3.1706
Epoch 15, Avg Train Loss: 3.1370, Avg Validation Loss: 3.1395
Epoch 16, Avg Train Loss: 3.1090, Avg Validation Loss: 3.1121
Epoch 17, Avg Train Loss: 3.0838, Avg Validation Loss: 3.0881
Epoch 18, Avg Train Loss: 3.0621, Avg Validation Loss: 3.0672
Epoch 19, Avg Train Loss: 3.0425, Avg Validation Loss: 3.0488
Epoch 20, Avg Train Loss: 3.0260, Avg Validation Loss: 3.0330
Epoch 21, Avg Train Loss: 3.0132, Avg Validation Loss: 3.0194
Epoch 22, Avg Train Loss: 3.0007, Avg Validation Loss: 3.0078
Epoch 23, Avg Train Loss: 2.9898, Avg Validation Loss: 2.9979
Epoch 24, Avg Train Loss: 2.9808, Avg Validation Loss: 2.9894
Epoch 25, Avg Train Loss: 2.9730, Avg Validation Loss: 2.9816
Epoch 26, Avg Train Loss: 2.9662, Avg Validation Loss: 2.9747
Epoch 27, Avg Train Loss: 2.9599, Avg Validation Loss: 2.9686
Epoch 28, Avg Train Loss: 2.9538, Avg Validation Loss: 2.9630
Epoch 29, Avg Train Loss: 2.9491, Avg Validation Loss: 2.9579
Epoch 30, Avg Train Loss: 2.9444, Avg Validation Loss: 2.9530
Epoch 31, Avg Train Loss: 2.9392, Avg Validation Loss: 2.9485
Epoch 32, Avg Train Loss: 2.9350, Avg Validation Loss: 2.9443
