Epoch 0, Train Loss: 7.3945, Val Loss: 4.9904
Epoch 1, Train Loss: 4.1608, Val Loss: 3.6469
Epoch 2, Train Loss: 3.4578, Val Loss: 3.3121
Epoch 3, Train Loss: 3.2419, Val Loss: 3.1811
Epoch 4, Train Loss: 3.1448, Val Loss: 3.1082
Epoch 5, Train Loss: 3.0856, Val Loss: 3.0594
Epoch 6, Train Loss: 3.0439, Val Loss: 3.0244
Epoch 7, Train Loss: 3.0132, Val Loss: 2.9974
Epoch 8, Train Loss: 2.9904, Val Loss: 2.9789
Epoch 9, Train Loss: 2.9739, Val Loss: 2.9651
Epoch 10, Train Loss: 2.9605, Val Loss: 2.9546
Epoch 11, Train Loss: 2.9515, Val Loss: 2.9461
Epoch 12, Train Loss: 2.9437, Val Loss: 2.9388
Epoch 13, Train Loss: 2.9359, Val Loss: 2.9326
Epoch 14, Train Loss: 2.9300, Val Loss: 2.9272
Epoch 15, Train Loss: 2.9240, Val Loss: 2.9212
Epoch 16, Train Loss: 2.9190, Val Loss: 2.9170
Epoch 17, Train Loss: 2.9145, Val Loss: 2.9129
Epoch 18, Train Loss: 2.9087, Val Loss: 2.9080
Epoch 19, Train Loss: 2.9049, Val Loss: 2.9054
Epoch 20, Train Loss: 2.9027, Val Loss: 2.9021
Epoch 21, Train Loss: 2.8986, Val Loss: 2.8999
Epoch 22, Train Loss: 2.8974, Val Loss: 2.8967
Epoch 23, Train Loss: 2.8944, Val Loss: 2.8944
Epoch 24, Train Loss: 2.8918, Val Loss: 2.8917
Epoch 25, Train Loss: 2.8894, Val Loss: 2.8884
Epoch 26, Train Loss: 2.8870, Val Loss: 2.8876
Epoch 27, Train Loss: 2.8844, Val Loss: 2.8849
Epoch 28, Train Loss: 2.8821, Val Loss: 2.8835
Epoch 29, Train Loss: 2.8807, Val Loss: 2.8818
Epoch 30, Train Loss: 2.8780, Val Loss: 2.8800
Epoch 31, Train Loss: 2.8765, Val Loss: 2.8785
Epoch 32, Train Loss: 2.8743, Val Loss: 2.8766
Epoch 33, Train Loss: 2.8737, Val Loss: 2.8749
Epoch 34, Train Loss: 2.8723, Val Loss: 2.8736
Epoch 35, Train Loss: 2.8700, Val Loss: 2.8741
Epoch 36, Train Loss: 2.8689, Val Loss: 2.8721
Epoch 37, Train Loss: 2.8680, Val Loss: 2.8729
Epoch 38, Train Loss: 2.8661, Val Loss: 2.8694
Epoch 39, Train Loss: 2.8652, Val Loss: 2.8680
Epoch 40, Train Loss: 2.8650, Val Loss: 2.8681
Epoch 41, Train Loss: 2.8643, Val Loss: 2.8671
Epoch 42, Train Loss: 2.8628, Val Loss: 2.8670
