Epoch 103, Train Loss: 2.8460, Val Loss: 2.8513
Epoch 104, Train Loss: 2.8446, Val Loss: 2.8515
Epoch 105, Train Loss: 2.8447, Val Loss: 2.8546
Epoch 106, Train Loss: 2.8452, Val Loss: 2.8532
Epoch 107, Train Loss: 2.8449, Val Loss: 2.8517
Epoch 108, Train Loss: 2.8432, Val Loss: 2.8528
Epoch 109, Train Loss: 2.8444, Val Loss: 2.8525
Epoch 110, Train Loss: 2.8437, Val Loss: 2.8515
Epoch 111, Train Loss: 2.8448, Val Loss: 2.8525
Epoch 112, Train Loss: 2.8442, Val Loss: 2.8521
Epoch 113, Train Loss: 2.8436, Val Loss: 2.8505
Epoch 114, Train Loss: 2.8442, Val Loss: 2.8504
Epoch 115, Train Loss: 2.8435, Val Loss: 2.8535
Epoch 116, Train Loss: 2.8442, Val Loss: 2.8503
Epoch 117, Train Loss: 2.8443, Val Loss: 2.8525
Epoch 118, Train Loss: 2.8442, Val Loss: 2.8515
Epoch 119, Train Loss: 2.8437, Val Loss: 2.8558
Epoch 120, Train Loss: 2.8444, Val Loss: 2.8507
Epoch 121, Train Loss: 2.8430, Val Loss: 2.8516
Epoch 122, Train Loss: 2.8433, Val Loss: 2.8525
Epoch 123, Train Loss: 2.8440, Val Loss: 2.8541
Epoch 124, Train Loss: 2.8432, Val Loss: 2.8511
Epoch 125, Train Loss: 2.8438, Val Loss: 2.8512
Early stopping triggered
Training complete.
