/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_4_4_32_6_857760
Epoch 0, Avg Train Loss: 6.0777, Avg Validation Loss: 5.3948
Epoch 1, Avg Train Loss: 4.9446, Avg Validation Loss: 4.5138
Epoch 2, Avg Train Loss: 4.2460, Avg Validation Loss: 3.9998
Epoch 3, Avg Train Loss: 3.8549, Avg Validation Loss: 3.7154
Epoch 4, Avg Train Loss: 3.6286, Avg Validation Loss: 3.5358
Epoch 5, Avg Train Loss: 3.4751, Avg Validation Loss: 3.4048
Epoch 6, Avg Train Loss: 3.3592, Avg Validation Loss: 3.3033
Epoch 7, Avg Train Loss: 3.2696, Avg Validation Loss: 3.2233
Epoch 8, Avg Train Loss: 3.1984, Avg Validation Loss: 3.1594
Epoch 9, Avg Train Loss: 3.1413, Avg Validation Loss: 3.1078
Epoch 10, Avg Train Loss: 3.0955, Avg Validation Loss: 3.0664
Epoch 11, Avg Train Loss: 3.0592, Avg Validation Loss: 3.0333
Epoch 12, Avg Train Loss: 3.0293, Avg Validation Loss: 3.0069
Epoch 13, Avg Train Loss: 3.0063, Avg Validation Loss: 2.9855
Epoch 14, Avg Train Loss: 2.9866, Avg Validation Loss: 2.9683
Epoch 15, Avg Train Loss: 2.9721, Avg Validation Loss: 2.9545
Epoch 16, Avg Train Loss: 2.9596, Avg Validation Loss: 2.9434
Epoch 17, Avg Train Loss: 2.9496, Avg Validation Loss: 2.9338
Epoch 18, Avg Train Loss: 2.9405, Avg Validation Loss: 2.9256
Epoch 19, Avg Train Loss: 2.9331, Avg Validation Loss: 2.9190
Epoch 20, Avg Train Loss: 2.9265, Avg Validation Loss: 2.9128
Epoch 21, Avg Train Loss: 2.9209, Avg Validation Loss: 2.9078
Epoch 22, Avg Train Loss: 2.9159, Avg Validation Loss: 2.9030
Epoch 23, Avg Train Loss: 2.9117, Avg Validation Loss: 2.8989
Epoch 24, Avg Train Loss: 2.9074, Avg Validation Loss: 2.8953
Epoch 25, Avg Train Loss: 2.9042, Avg Validation Loss: 2.8924
Epoch 26, Avg Train Loss: 2.9015, Avg Validation Loss: 2.8892
Epoch 27, Avg Train Loss: 2.8989, Avg Validation Loss: 2.8866
Epoch 28, Avg Train Loss: 2.8960, Avg Validation Loss: 2.8843
Epoch 29, Avg Train Loss: 2.8936, Avg Validation Loss: 2.8820
Epoch 30, Avg Train Loss: 2.8918, Avg Validation Loss: 2.8800
Epoch 31, Avg Train Loss: 2.8894, Avg Validation Loss: 2.8780
Epoch 32, Avg Train Loss: 2.8873, Avg Validation Loss: 2.8761
Epoch 33, Avg Train Loss: 2.8852, Avg Validation Loss: 2.8749
Epoch 34, Avg Train Loss: 2.8841, Avg Validation Loss: 2.8729
Epoch 35, Avg Train Loss: 2.8819, Avg Validation Loss: 2.8713
Epoch 36, Avg Train Loss: 2.8802, Avg Validation Loss: 2.8699
Epoch 37, Avg Train Loss: 2.8786, Avg Validation Loss: 2.8686
Epoch 38, Avg Train Loss: 2.8774, Avg Validation Loss: 2.8675
Epoch 39, Avg Train Loss: 2.8757, Avg Validation Loss: 2.8660
Epoch 40, Avg Train Loss: 2.8744, Avg Validation Loss: 2.8648
Epoch 41, Avg Train Loss: 2.8733, Avg Validation Loss: 2.8636
Epoch 42, Avg Train Loss: 2.8723, Avg Validation Loss: 2.8624
Epoch 43, Avg Train Loss: 2.8701, Avg Validation Loss: 2.8615
Epoch 44, Avg Train Loss: 2.8693, Avg Validation Loss: 2.8606
Epoch 45, Avg Train Loss: 2.8680, Avg Validation Loss: 2.8595
Epoch 46, Avg Train Loss: 2.8670, Avg Validation Loss: 2.8584
Epoch 47, Avg Train Loss: 2.8658, Avg Validation Loss: 2.8575
Epoch 48, Avg Train Loss: 2.8642, Avg Validation Loss: 2.8566
Epoch 49, Avg Train Loss: 2.8638, Avg Validation Loss: 2.8562
Epoch 50, Avg Train Loss: 2.8627, Avg Validation Loss: 2.8552
Epoch 51, Avg Train Loss: 2.8619, Avg Validation Loss: 2.8545
Epoch 52, Avg Train Loss: 2.8622, Avg Validation Loss: 2.8539
Epoch 53, Avg Train Loss: 2.8607, Avg Validation Loss: 2.8536
Epoch 54, Avg Train Loss: 2.8595, Avg Validation Loss: 2.8534
Epoch 55, Avg Train Loss: 2.8599, Avg Validation Loss: 2.8526
Epoch 56, Avg Train Loss: 2.8588, Avg Validation Loss: 2.8519
Epoch 57, Avg Train Loss: 2.8587, Avg Validation Loss: 2.8521
Epoch 58, Avg Train Loss: 2.8583, Avg Validation Loss: 2.8513
Epoch 59, Avg Train Loss: 2.8577, Avg Validation Loss: 2.8509
Epoch 60, Avg Train Loss: 2.8569, Avg Validation Loss: 2.8509
Epoch 61, Avg Train Loss: 2.8568, Avg Validation Loss: 2.8508
Epoch 62, Avg Train Loss: 2.8567, Avg Validation Loss: 2.8506
Epoch 63, Avg Train Loss: 2.8565, Avg Validation Loss: 2.8497
Epoch 64, Avg Train Loss: 2.8565, Avg Validation Loss: 2.8500
Epoch 65, Avg Train Loss: 2.8552, Avg Validation Loss: 2.8511
Epoch 66, Avg Train Loss: 2.8560, Avg Validation Loss: 2.8498
Epoch 67, Avg Train Loss: 2.8552, Avg Validation Loss: 2.8499
Epoch 68, Avg Train Loss: 2.8548, Avg Validation Loss: 2.8492
Epoch 69, Avg Train Loss: 2.8549, Avg Validation Loss: 2.8484
Epoch 70, Avg Train Loss: 2.8545, Avg Validation Loss: 2.8485
Epoch 71, Avg Train Loss: 2.8541, Avg Validation Loss: 2.8485
Epoch 72, Avg Train Loss: 2.8540, Avg Validation Loss: 2.8480
Epoch 73, Avg Train Loss: 2.8536, Avg Validation Loss: 2.8489
Epoch 74, Avg Train Loss: 2.8537, Avg Validation Loss: 2.8475
Epoch 75, Avg Train Loss: 2.8537, Avg Validation Loss: 2.8477
Epoch 76, Avg Train Loss: 2.8530, Avg Validation Loss: 2.8478
Epoch 77, Avg Train Loss: 2.8526, Avg Validation Loss: 2.8472
Epoch 78, Avg Train Loss: 2.8524, Avg Validation Loss: 2.8470
Epoch 79, Avg Train Loss: 2.8527, Avg Validation Loss: 2.8483
Epoch 80, Avg Train Loss: 2.8521, Avg Validation Loss: 2.8476
Epoch 81, Avg Train Loss: 2.8522, Avg Validation Loss: 2.8484
Epoch 82, Avg Train Loss: 2.8513, Avg Validation Loss: 2.8467
Epoch 83, Avg Train Loss: 2.8520, Avg Validation Loss: 2.8472
Epoch 84, Avg Train Loss: 2.8517, Avg Validation Loss: 2.8468
Epoch 85, Avg Train Loss: 2.8513, Avg Validation Loss: 2.8487
Epoch 86, Avg Train Loss: 2.8516, Avg Validation Loss: 2.8466
Epoch 87, Avg Train Loss: 2.8508, Avg Validation Loss: 2.8470
Epoch 88, Avg Train Loss: 2.8508, Avg Validation Loss: 2.8457
Epoch 89, Avg Train Loss: 2.8508, Avg Validation Loss: 2.8457
Epoch 90, Avg Train Loss: 2.8503, Avg Validation Loss: 2.8466
Epoch 91, Avg Train Loss: 2.8505, Avg Validation Loss: 2.8456
Epoch 92, Avg Train Loss: 2.8502, Avg Validation Loss: 2.8459
Epoch 93, Avg Train Loss: 2.8497, Avg Validation Loss: 2.8464
Epoch 94, Avg Train Loss: 2.8498, Avg Validation Loss: 2.8469
Epoch 95, Avg Train Loss: 2.8500, Avg Validation Loss: 2.8470
Epoch 96, Avg Train Loss: 2.8498, Avg Validation Loss: 2.8451
Epoch 97, Avg Train Loss: 2.8497, Avg Validation Loss: 2.8449
Epoch 98, Avg Train Loss: 2.8506, Avg Validation Loss: 2.8450
Epoch 99, Avg Train Loss: 2.8487, Avg Validation Loss: 2.8447
Epoch 100, Avg Train Loss: 2.8494, Avg Validation Loss: 2.8463
Epoch 101, Avg Train Loss: 2.8490, Avg Validation Loss: 2.8499
Epoch 102, Avg Train Loss: 2.8492, Avg Validation Loss: 2.8447
Epoch 103, Avg Train Loss: 2.8483, Avg Validation Loss: 2.8448
