/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_3_2_64_10_718662
Epoch 0, Avg Train Loss: 6.1144, Avg Validation Loss: 5.3407
Epoch 1, Avg Train Loss: 4.8294, Avg Validation Loss: 4.4040
Epoch 2, Avg Train Loss: 4.1291, Avg Validation Loss: 3.8960
Epoch 3, Avg Train Loss: 3.7474, Avg Validation Loss: 3.6103
Epoch 4, Avg Train Loss: 3.5254, Avg Validation Loss: 3.4319
Epoch 5, Avg Train Loss: 3.3766, Avg Validation Loss: 3.3060
Epoch 6, Avg Train Loss: 3.2710, Avg Validation Loss: 3.2142
Epoch 7, Avg Train Loss: 3.1925, Avg Validation Loss: 3.1490
Epoch 8, Avg Train Loss: 3.1361, Avg Validation Loss: 3.1042
Epoch 9, Avg Train Loss: 3.0964, Avg Validation Loss: 3.0724
Epoch 10, Avg Train Loss: 3.0650, Avg Validation Loss: 3.0467
Epoch 11, Avg Train Loss: 3.0402, Avg Validation Loss: 3.0253
Epoch 12, Avg Train Loss: 3.0189, Avg Validation Loss: 3.0073
Epoch 13, Avg Train Loss: 3.0011, Avg Validation Loss: 2.9917
Epoch 14, Avg Train Loss: 2.9849, Avg Validation Loss: 2.9778
Epoch 15, Avg Train Loss: 2.9713, Avg Validation Loss: 2.9655
Epoch 16, Avg Train Loss: 2.9592, Avg Validation Loss: 2.9545
Epoch 17, Avg Train Loss: 2.9491, Avg Validation Loss: 2.9448
Epoch 18, Avg Train Loss: 2.9400, Avg Validation Loss: 2.9363
Epoch 19, Avg Train Loss: 2.9321, Avg Validation Loss: 2.9287
Epoch 20, Avg Train Loss: 2.9251, Avg Validation Loss: 2.9219
Epoch 21, Avg Train Loss: 2.9191, Avg Validation Loss: 2.9159
Epoch 22, Avg Train Loss: 2.9139, Avg Validation Loss: 2.9104
Epoch 23, Avg Train Loss: 2.9074, Avg Validation Loss: 2.9057
Epoch 24, Avg Train Loss: 2.9035, Avg Validation Loss: 2.9015
Epoch 25, Avg Train Loss: 2.8998, Avg Validation Loss: 2.8977
Epoch 26, Avg Train Loss: 2.8958, Avg Validation Loss: 2.8943
Epoch 27, Avg Train Loss: 2.8923, Avg Validation Loss: 2.8911
Epoch 28, Avg Train Loss: 2.8895, Avg Validation Loss: 2.8876
Epoch 29, Avg Train Loss: 2.8869, Avg Validation Loss: 2.8850
Epoch 30, Avg Train Loss: 2.8838, Avg Validation Loss: 2.8822
Epoch 31, Avg Train Loss: 2.8816, Avg Validation Loss: 2.8796
Epoch 32, Avg Train Loss: 2.8792, Avg Validation Loss: 2.8771
Epoch 33, Avg Train Loss: 2.8764, Avg Validation Loss: 2.8752
Epoch 34, Avg Train Loss: 2.8747, Avg Validation Loss: 2.8729
Epoch 35, Avg Train Loss: 2.8725, Avg Validation Loss: 2.8708
Epoch 36, Avg Train Loss: 2.8704, Avg Validation Loss: 2.8691
Epoch 37, Avg Train Loss: 2.8683, Avg Validation Loss: 2.8673
Epoch 38, Avg Train Loss: 2.8662, Avg Validation Loss: 2.8657
Epoch 39, Avg Train Loss: 2.8651, Avg Validation Loss: 2.8639
Epoch 40, Avg Train Loss: 2.8639, Avg Validation Loss: 2.8623
Epoch 41, Avg Train Loss: 2.8616, Avg Validation Loss: 2.8611
