/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_5_4_64_12_302796
Epoch 0, Avg Train Loss: 4.2787, Avg Validation Loss: 3.8539
Epoch 1, Avg Train Loss: 3.6573, Avg Validation Loss: 3.4539
Epoch 2, Avg Train Loss: 3.3280, Avg Validation Loss: 3.2154
Epoch 3, Avg Train Loss: 3.1775, Avg Validation Loss: 3.1284
Epoch 4, Avg Train Loss: 3.1050, Avg Validation Loss: 3.0675
Epoch 5, Avg Train Loss: 3.0520, Avg Validation Loss: 3.0248
Epoch 6, Avg Train Loss: 3.0150, Avg Validation Loss: 2.9960
Epoch 7, Avg Train Loss: 2.9885, Avg Validation Loss: 2.9744
Epoch 8, Avg Train Loss: 2.9677, Avg Validation Loss: 2.9549
Epoch 9, Avg Train Loss: 2.9514, Avg Validation Loss: 2.9412
Epoch 10, Avg Train Loss: 2.9385, Avg Validation Loss: 2.9299
Epoch 11, Avg Train Loss: 2.9285, Avg Validation Loss: 2.9211
Epoch 12, Avg Train Loss: 2.9197, Avg Validation Loss: 2.9133
Epoch 13, Avg Train Loss: 2.9123, Avg Validation Loss: 2.9074
Epoch 14, Avg Train Loss: 2.9071, Avg Validation Loss: 2.9024
Epoch 15, Avg Train Loss: 2.9011, Avg Validation Loss: 2.8962
Epoch 16, Avg Train Loss: 2.8952, Avg Validation Loss: 2.8917
Epoch 17, Avg Train Loss: 2.8900, Avg Validation Loss: 2.8870
Epoch 18, Avg Train Loss: 2.8871, Avg Validation Loss: 2.8850
Epoch 19, Avg Train Loss: 2.8849, Avg Validation Loss: 2.8824
Epoch 20, Avg Train Loss: 2.8817, Avg Validation Loss: 2.8803
Epoch 21, Avg Train Loss: 2.8801, Avg Validation Loss: 2.8784
Epoch 22, Avg Train Loss: 2.8778, Avg Validation Loss: 2.8769
Epoch 23, Avg Train Loss: 2.8757, Avg Validation Loss: 2.8739
Epoch 24, Avg Train Loss: 2.8743, Avg Validation Loss: 2.8729
Epoch 25, Avg Train Loss: 2.8732, Avg Validation Loss: 2.8699
Epoch 26, Avg Train Loss: 2.8714, Avg Validation Loss: 2.8697
Epoch 27, Avg Train Loss: 2.8685, Avg Validation Loss: 2.8681
Epoch 28, Avg Train Loss: 2.8669, Avg Validation Loss: 2.8670
Epoch 29, Avg Train Loss: 2.8657, Avg Validation Loss: 2.8657
Epoch 30, Avg Train Loss: 2.8642, Avg Validation Loss: 2.8648
Epoch 31, Avg Train Loss: 2.8631, Avg Validation Loss: 2.8634
Epoch 32, Avg Train Loss: 2.8628, Avg Validation Loss: 2.8625
Epoch 33, Avg Train Loss: 2.8621, Avg Validation Loss: 2.8618
Epoch 34, Avg Train Loss: 2.8610, Avg Validation Loss: 2.8612
Epoch 35, Avg Train Loss: 2.8603, Avg Validation Loss: 2.8610
Epoch 36, Avg Train Loss: 2.8594, Avg Validation Loss: 2.8602
Epoch 37, Avg Train Loss: 2.8591, Avg Validation Loss: 2.8586
Epoch 38, Avg Train Loss: 2.8576, Avg Validation Loss: 2.8583
Epoch 39, Avg Train Loss: 2.8570, Avg Validation Loss: 2.8578
Epoch 40, Avg Train Loss: 2.8571, Avg Validation Loss: 2.8570
Epoch 41, Avg Train Loss: 2.8565, Avg Validation Loss: 2.8563
Epoch 42, Avg Train Loss: 2.8559, Avg Validation Loss: 2.8560
Epoch 43, Avg Train Loss: 2.8556, Avg Validation Loss: 2.8554
Epoch 44, Avg Train Loss: 2.8550, Avg Validation Loss: 2.8546
Epoch 45, Avg Train Loss: 2.8539, Avg Validation Loss: 2.8539
Epoch 46, Avg Train Loss: 2.8537, Avg Validation Loss: 2.8535
Epoch 47, Avg Train Loss: 2.8531, Avg Validation Loss: 2.8532
Epoch 48, Avg Train Loss: 2.8529, Avg Validation Loss: 2.8532
Epoch 49, Avg Train Loss: 2.8523, Avg Validation Loss: 2.8542
Epoch 50, Avg Train Loss: 2.8518, Avg Validation Loss: 2.8525
Epoch 51, Avg Train Loss: 2.8514, Avg Validation Loss: 2.8514
Epoch 52, Avg Train Loss: 2.8519, Avg Validation Loss: 2.8511
Epoch 53, Avg Train Loss: 2.8507, Avg Validation Loss: 2.8509
Epoch 54, Avg Train Loss: 2.8507, Avg Validation Loss: 2.8514
Epoch 55, Avg Train Loss: 2.8503, Avg Validation Loss: 2.8503
Epoch 56, Avg Train Loss: 2.8499, Avg Validation Loss: 2.8509
Epoch 57, Avg Train Loss: 2.8498, Avg Validation Loss: 2.8500
Epoch 58, Avg Train Loss: 2.8498, Avg Validation Loss: 2.8497
Epoch 59, Avg Train Loss: 2.8493, Avg Validation Loss: 2.8501
Epoch 60, Avg Train Loss: 2.8488, Avg Validation Loss: 2.8491
Epoch 61, Avg Train Loss: 2.8490, Avg Validation Loss: 2.8489
Epoch 62, Avg Train Loss: 2.8489, Avg Validation Loss: 2.8494
Epoch 63, Avg Train Loss: 2.8485, Avg Validation Loss: 2.8487
Epoch 64, Avg Train Loss: 2.8483, Avg Validation Loss: 2.8485
Epoch 65, Avg Train Loss: 2.8488, Avg Validation Loss: 2.8485
Epoch 66, Avg Train Loss: 2.8480, Avg Validation Loss: 2.8510
Epoch 67, Avg Train Loss: 2.8480, Avg Validation Loss: 2.8486
Epoch 68, Avg Train Loss: 2.8479, Avg Validation Loss: 2.8473
Epoch 69, Avg Train Loss: 2.8471, Avg Validation Loss: 2.8470
Epoch 70, Avg Train Loss: 2.8469, Avg Validation Loss: 2.8474
Epoch 71, Avg Train Loss: 2.8472, Avg Validation Loss: 2.8479
Epoch 72, Avg Train Loss: 2.8470, Avg Validation Loss: 2.8478
Epoch 73, Avg Train Loss: 2.8463, Avg Validation Loss: 2.8481
Epoch 74, Avg Train Loss: 2.8466, Avg Validation Loss: 2.8463
Epoch 75, Avg Train Loss: 2.8465, Avg Validation Loss: 2.8461
Epoch 76, Avg Train Loss: 2.8461, Avg Validation Loss: 2.8468
Epoch 77, Avg Train Loss: 2.8465, Avg Validation Loss: 2.8465
Epoch 78, Avg Train Loss: 2.8462, Avg Validation Loss: 2.8473
Epoch 79, Avg Train Loss: 2.8466, Avg Validation Loss: 2.8527
Epoch 80, Avg Train Loss: 2.8469, Avg Validation Loss: 2.8468
Epoch 81, Avg Train Loss: 2.8461, Avg Validation Loss: 2.8486
Epoch 82, Avg Train Loss: 2.8459, Avg Validation Loss: 2.8483
Epoch 83, Avg Train Loss: 2.8459, Avg Validation Loss: 2.8455
Epoch 84, Avg Train Loss: 2.8457, Avg Validation Loss: 2.8463
Epoch 85, Avg Train Loss: 2.8454, Avg Validation Loss: 2.8446
Epoch 86, Avg Train Loss: 2.8462, Avg Validation Loss: 2.8464
Epoch 87, Avg Train Loss: 2.8456, Avg Validation Loss: 2.8457
Epoch 88, Avg Train Loss: 2.8466, Avg Validation Loss: 2.8463
Epoch 89, Avg Train Loss: 2.8453, Avg Validation Loss: 2.8463
Epoch 90, Avg Train Loss: 2.8458, Avg Validation Loss: 2.8458
Epoch 91, Avg Train Loss: 2.8455, Avg Validation Loss: 2.8491
Epoch 92, Avg Train Loss: 2.8451, Avg Validation Loss: 2.8449
Epoch 93, Avg Train Loss: 2.8449, Avg Validation Loss: 2.8468
Epoch 94, Avg Train Loss: 2.8447, Avg Validation Loss: 2.8481
Epoch 95, Avg Train Loss: 2.8446, Avg Validation Loss: 2.8454
Epoch 96, Avg Train Loss: 2.8451, Avg Validation Loss: 2.8465
Epoch 97, Avg Train Loss: 2.8445, Avg Validation Loss: 2.8490
Epoch 98, Avg Train Loss: 2.8459, Avg Validation Loss: 2.8463
Epoch 99, Avg Train Loss: 2.8465, Avg Validation Loss: 2.8445
Epoch 100, Avg Train Loss: 2.8454, Avg Validation Loss: 2.8453
Epoch 101, Avg Train Loss: 2.8459, Avg Validation Loss: 2.8442
Epoch 102, Avg Train Loss: 2.8461, Avg Validation Loss: 2.8459
Epoch 103, Avg Train Loss: 2.8445, Avg Validation Loss: 2.8501
Epoch 104, Avg Train Loss: 2.8470, Avg Validation Loss: 2.8449
Epoch 105, Avg Train Loss: 2.8447, Avg Validation Loss: 2.8447
Epoch 106, Avg Train Loss: 2.8446, Avg Validation Loss: 2.8452
Epoch 107, Avg Train Loss: 2.8438, Avg Validation Loss: 2.8442
Epoch 108, Avg Train Loss: 2.8443, Avg Validation Loss: 2.8446
Epoch 109, Avg Train Loss: 2.8441, Avg Validation Loss: 2.8448
Epoch 110, Avg Train Loss: 2.8453, Avg Validation Loss: 2.8454
Epoch 111, Avg Train Loss: 2.8438, Avg Validation Loss: 2.8456
Epoch 112, Avg Train Loss: 2.8445, Avg Validation Loss: 2.8442
Epoch 113, Avg Train Loss: 2.8459, Avg Validation Loss: 2.8461
Epoch 114, Avg Train Loss: 2.8452, Avg Validation Loss: 2.8468
Epoch 115, Avg Train Loss: 2.8446, Avg Validation Loss: 2.8440
Epoch 116, Avg Train Loss: 2.8443, Avg Validation Loss: 2.8474
Epoch 117, Avg Train Loss: 2.8442, Avg Validation Loss: 2.8495
Epoch 118, Avg Train Loss: 2.8441, Avg Validation Loss: 2.8435
Epoch 119, Avg Train Loss: 2.8444, Avg Validation Loss: 2.8436
Epoch 120, Avg Train Loss: 2.8443, Avg Validation Loss: 2.8435
Epoch 121, Avg Train Loss: 2.8439, Avg Validation Loss: 2.8445
Epoch 122, Avg Train Loss: 2.8443, Avg Validation Loss: 2.8450
Epoch 123, Avg Train Loss: 2.8441, Avg Validation Loss: 2.8447
Epoch 124, Avg Train Loss: 2.8445, Avg Validation Loss: 2.8435
Epoch 125, Avg Train Loss: 2.8442, Avg Validation Loss: 2.8447
Epoch 126, Avg Train Loss: 2.8436, Avg Validation Loss: 2.8457
Epoch 127, Avg Train Loss: 2.8451, Avg Validation Loss: 2.8464
Epoch 128, Avg Train Loss: 2.8435, Avg Validation Loss: 2.8440
Epoch 129, Avg Train Loss: 2.8443, Avg Validation Loss: 2.8453
Epoch 130, Avg Train Loss: 2.8433, Avg Validation Loss: 2.8457
Epoch 131, Avg Train Loss: 2.8447, Avg Validation Loss: 2.8443
Epoch 132, Avg Train Loss: 2.8438, Avg Validation Loss: 2.8591
Epoch 133, Avg Train Loss: 2.8442, Avg Validation Loss: 2.8460
Epoch 134, Avg Train Loss: 2.8448, Avg Validation Loss: 2.8446
Epoch 135, Avg Train Loss: 2.8441, Avg Validation Loss: 2.8495
Epoch 136, Avg Train Loss: 2.8442, Avg Validation Loss: 2.8459
Epoch 137, Avg Train Loss: 2.8442, Avg Validation Loss: 2.8454
Epoch 138, Avg Train Loss: 2.8443, Avg Validation Loss: 2.8446
Epoch 139, Avg Train Loss: 2.8452, Avg Validation Loss: 2.8456
Epoch 140, Avg Train Loss: 2.8454, Avg Validation Loss: 2.8480
Epoch 141, Avg Train Loss: 2.8447, Avg Validation Loss: 2.8461
Epoch 142, Avg Train Loss: 2.8449, Avg Validation Loss: 2.8432
Epoch 143, Avg Train Loss: 2.8436, Avg Validation Loss: 2.8426
Epoch 144, Avg Train Loss: 2.8443, Avg Validation Loss: 2.8455
Epoch 145, Avg Train Loss: 2.8449, Avg Validation Loss: 2.8459
Epoch 146, Avg Train Loss: 2.8435, Avg Validation Loss: 2.8477
Epoch 147, Avg Train Loss: 2.8444, Avg Validation Loss: 2.8439
Epoch 148, Avg Train Loss: 2.8439, Avg Validation Loss: 2.8438
Epoch 149, Avg Train Loss: 2.8443, Avg Validation Loss: 2.8441
Epoch 150, Avg Train Loss: 2.8440, Avg Validation Loss: 2.8428
Epoch 151, Avg Train Loss: 2.8433, Avg Validation Loss: 2.8449
Epoch 152, Avg Train Loss: 2.8440, Avg Validation Loss: 2.8432
Epoch 153, Avg Train Loss: 2.8446, Avg Validation Loss: 2.8469
Epoch 154, Avg Train Loss: 2.8442, Avg Validation Loss: 2.8440
Epoch 155, Avg Train Loss: 2.8437, Avg Validation Loss: 2.8456
Epoch 156, Avg Train Loss: 2.8435, Avg Validation Loss: 2.8466
Epoch 157, Avg Train Loss: 2.8439, Avg Validation Loss: 2.8426
Epoch 158, Avg Train Loss: 2.8430, Avg Validation Loss: 2.8459
Epoch 159, Avg Train Loss: 2.8437, Avg Validation Loss: 2.8440
Epoch 160, Avg Train Loss: 2.8448, Avg Validation Loss: 2.8446
Epoch 161, Avg Train Loss: 2.8435, Avg Validation Loss: 2.8475
Epoch 162, Avg Train Loss: 2.8427, Avg Validation Loss: 2.8436
Epoch 163, Avg Train Loss: 2.8434, Avg Validation Loss: 2.8417
Epoch 164, Avg Train Loss: 2.8438, Avg Validation Loss: 2.8440
Epoch 165, Avg Train Loss: 2.8430, Avg Validation Loss: 2.8426
Epoch 166, Avg Train Loss: 2.8440, Avg Validation Loss: 2.8440
Epoch 167, Avg Train Loss: 2.8431, Avg Validation Loss: 2.8452
Epoch 168, Avg Train Loss: 2.8450, Avg Validation Loss: 2.8451
Epoch 169, Avg Train Loss: 2.8431, Avg Validation Loss: 2.8464
Epoch 170, Avg Train Loss: 2.8445, Avg Validation Loss: 2.8429
