/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_2_2_64_6_857740
Epoch 0, Avg Train Loss: 3.8222, Avg Validation Loss: 3.5957
Epoch 1, Avg Train Loss: 3.4570, Avg Validation Loss: 3.3327
Epoch 2, Avg Train Loss: 3.2480, Avg Validation Loss: 3.1756
Epoch 3, Avg Train Loss: 3.1271, Avg Validation Loss: 3.0857
Epoch 4, Avg Train Loss: 3.0581, Avg Validation Loss: 3.0346
Epoch 5, Avg Train Loss: 3.0166, Avg Validation Loss: 3.0007
Epoch 6, Avg Train Loss: 2.9882, Avg Validation Loss: 2.9767
Epoch 7, Avg Train Loss: 2.9680, Avg Validation Loss: 2.9587
Epoch 8, Avg Train Loss: 2.9523, Avg Validation Loss: 2.9440
Epoch 9, Avg Train Loss: 2.9393, Avg Validation Loss: 2.9312
Epoch 10, Avg Train Loss: 2.9277, Avg Validation Loss: 2.9201
Epoch 11, Avg Train Loss: 2.9174, Avg Validation Loss: 2.9103
Epoch 12, Avg Train Loss: 2.9081, Avg Validation Loss: 2.9011
Epoch 13, Avg Train Loss: 2.8999, Avg Validation Loss: 2.8930
Epoch 14, Avg Train Loss: 2.8926, Avg Validation Loss: 2.8860
Epoch 15, Avg Train Loss: 2.8866, Avg Validation Loss: 2.8799
Epoch 16, Avg Train Loss: 2.8808, Avg Validation Loss: 2.8747
Epoch 17, Avg Train Loss: 2.8765, Avg Validation Loss: 2.8704
Epoch 18, Avg Train Loss: 2.8729, Avg Validation Loss: 2.8667
Epoch 19, Avg Train Loss: 2.8691, Avg Validation Loss: 2.8637
Epoch 20, Avg Train Loss: 2.8664, Avg Validation Loss: 2.8611
Epoch 21, Avg Train Loss: 2.8642, Avg Validation Loss: 2.8589
Epoch 22, Avg Train Loss: 2.8628, Avg Validation Loss: 2.8570
Epoch 23, Avg Train Loss: 2.8607, Avg Validation Loss: 2.8553
Epoch 24, Avg Train Loss: 2.8590, Avg Validation Loss: 2.8538
Epoch 25, Avg Train Loss: 2.8583, Avg Validation Loss: 2.8525
Epoch 26, Avg Train Loss: 2.8568, Avg Validation Loss: 2.8513
Epoch 27, Avg Train Loss: 2.8556, Avg Validation Loss: 2.8502
Epoch 28, Avg Train Loss: 2.8544, Avg Validation Loss: 2.8493
Epoch 29, Avg Train Loss: 2.8537, Avg Validation Loss: 2.8482
Epoch 30, Avg Train Loss: 2.8527, Avg Validation Loss: 2.8474
Epoch 31, Avg Train Loss: 2.8523, Avg Validation Loss: 2.8468
Epoch 32, Avg Train Loss: 2.8517, Avg Validation Loss: 2.8460
Epoch 33, Avg Train Loss: 2.8508, Avg Validation Loss: 2.8454
Epoch 34, Avg Train Loss: 2.8503, Avg Validation Loss: 2.8449
Epoch 35, Avg Train Loss: 2.8497, Avg Validation Loss: 2.8442
Epoch 36, Avg Train Loss: 2.8489, Avg Validation Loss: 2.8437
