/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_3_2_64_8_718658
Epoch 0, Avg Train Loss: 10.2669, Avg Validation Loss: 9.0594
Epoch 1, Avg Train Loss: 8.3033, Avg Validation Loss: 7.5818
Epoch 2, Avg Train Loss: 7.0447, Avg Validation Loss: 6.4846
Epoch 3, Avg Train Loss: 6.0848, Avg Validation Loss: 5.6405
Epoch 4, Avg Train Loss: 5.3323, Avg Validation Loss: 4.9933
Epoch 5, Avg Train Loss: 4.7722, Avg Validation Loss: 4.5129
Epoch 6, Avg Train Loss: 4.3548, Avg Validation Loss: 4.1545
Epoch 7, Avg Train Loss: 4.0422, Avg Validation Loss: 3.8838
Epoch 8, Avg Train Loss: 3.8049, Avg Validation Loss: 3.6785
Epoch 9, Avg Train Loss: 3.6236, Avg Validation Loss: 3.5213
Epoch 10, Avg Train Loss: 3.4864, Avg Validation Loss: 3.4034
Epoch 11, Avg Train Loss: 3.3780, Avg Validation Loss: 3.3115
Epoch 12, Avg Train Loss: 3.2941, Avg Validation Loss: 3.2415
Epoch 13, Avg Train Loss: 3.2288, Avg Validation Loss: 3.1872
Epoch 14, Avg Train Loss: 3.1783, Avg Validation Loss: 3.1427
Epoch 15, Avg Train Loss: 3.1353, Avg Validation Loss: 3.1061
Epoch 16, Avg Train Loss: 3.1005, Avg Validation Loss: 3.0758
Epoch 17, Avg Train Loss: 3.0677, Avg Validation Loss: 3.0474
Epoch 18, Avg Train Loss: 3.0401, Avg Validation Loss: 3.0215
Epoch 19, Avg Train Loss: 3.0178, Avg Validation Loss: 2.9981
Epoch 20, Avg Train Loss: 2.9980, Avg Validation Loss: 2.9778
Epoch 21, Avg Train Loss: 2.9792, Avg Validation Loss: 2.9609
Epoch 22, Avg Train Loss: 2.9650, Avg Validation Loss: 2.9476
Epoch 23, Avg Train Loss: 2.9545, Avg Validation Loss: 2.9372
Epoch 24, Avg Train Loss: 2.9456, Avg Validation Loss: 2.9285
Epoch 25, Avg Train Loss: 2.9387, Avg Validation Loss: 2.9213
Epoch 26, Avg Train Loss: 2.9322, Avg Validation Loss: 2.9148
Epoch 27, Avg Train Loss: 2.9272, Avg Validation Loss: 2.9092
Epoch 28, Avg Train Loss: 2.9235, Avg Validation Loss: 2.9048
Epoch 29, Avg Train Loss: 2.9187, Avg Validation Loss: 2.9004
Epoch 30, Avg Train Loss: 2.9144, Avg Validation Loss: 2.8965
Epoch 31, Avg Train Loss: 2.9102, Avg Validation Loss: 2.8929
Epoch 32, Avg Train Loss: 2.9079, Avg Validation Loss: 2.8895
Epoch 33, Avg Train Loss: 2.9042, Avg Validation Loss: 2.8866
Epoch 34, Avg Train Loss: 2.9016, Avg Validation Loss: 2.8836
Epoch 35, Avg Train Loss: 2.8987, Avg Validation Loss: 2.8809
Epoch 36, Avg Train Loss: 2.8952, Avg Validation Loss: 2.8787
Epoch 37, Avg Train Loss: 2.8929, Avg Validation Loss: 2.8762
Epoch 38, Avg Train Loss: 2.8908, Avg Validation Loss: 2.8741
Epoch 39, Avg Train Loss: 2.8887, Avg Validation Loss: 2.8717
Epoch 40, Avg Train Loss: 2.8865, Avg Validation Loss: 2.8699
Epoch 41, Avg Train Loss: 2.8850, Avg Validation Loss: 2.8680
Epoch 42, Avg Train Loss: 2.8831, Avg Validation Loss: 2.8661
Epoch 43, Avg Train Loss: 2.8813, Avg Validation Loss: 2.8646
Epoch 44, Avg Train Loss: 2.8802, Avg Validation Loss: 2.8631
Epoch 45, Avg Train Loss: 2.8779, Avg Validation Loss: 2.8618
Epoch 46, Avg Train Loss: 2.8774, Avg Validation Loss: 2.8605
Epoch 47, Avg Train Loss: 2.8745, Avg Validation Loss: 2.8588
Epoch 48, Avg Train Loss: 2.8734, Avg Validation Loss: 2.8579
