/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_3_6_16_4_857774
Epoch 0, Avg Train Loss: 5.9962, Avg Validation Loss: 5.7244
Epoch 1, Avg Train Loss: 5.4253, Avg Validation Loss: 5.2083
Epoch 2, Avg Train Loss: 4.9555, Avg Validation Loss: 4.7843
Epoch 3, Avg Train Loss: 4.5712, Avg Validation Loss: 4.4374
Epoch 4, Avg Train Loss: 4.2585, Avg Validation Loss: 4.1563
Epoch 5, Avg Train Loss: 4.0071, Avg Validation Loss: 3.9314
Epoch 6, Avg Train Loss: 3.8075, Avg Validation Loss: 3.7551
Epoch 7, Avg Train Loss: 3.6539, Avg Validation Loss: 3.6197
Epoch 8, Avg Train Loss: 3.5373, Avg Validation Loss: 3.5174
Epoch 9, Avg Train Loss: 3.4470, Avg Validation Loss: 3.4365
Epoch 10, Avg Train Loss: 3.3750, Avg Validation Loss: 3.3698
Epoch 11, Avg Train Loss: 3.3132, Avg Validation Loss: 3.3115
Epoch 12, Avg Train Loss: 3.2587, Avg Validation Loss: 3.2592
Epoch 13, Avg Train Loss: 3.2101, Avg Validation Loss: 3.2115
Epoch 14, Avg Train Loss: 3.1653, Avg Validation Loss: 3.1679
Epoch 15, Avg Train Loss: 3.1258, Avg Validation Loss: 3.1293
Epoch 16, Avg Train Loss: 3.0911, Avg Validation Loss: 3.0951
Epoch 17, Avg Train Loss: 3.0598, Avg Validation Loss: 3.0648
Epoch 18, Avg Train Loss: 3.0324, Avg Validation Loss: 3.0389
Epoch 19, Avg Train Loss: 3.0095, Avg Validation Loss: 3.0162
Epoch 20, Avg Train Loss: 2.9890, Avg Validation Loss: 2.9972
Epoch 21, Avg Train Loss: 2.9728, Avg Validation Loss: 2.9806
Epoch 22, Avg Train Loss: 2.9588, Avg Validation Loss: 2.9666
Epoch 23, Avg Train Loss: 2.9463, Avg Validation Loss: 2.9548
Epoch 24, Avg Train Loss: 2.9365, Avg Validation Loss: 2.9448
Epoch 25, Avg Train Loss: 2.9285, Avg Validation Loss: 2.9365
Epoch 26, Avg Train Loss: 2.9214, Avg Validation Loss: 2.9295
Epoch 27, Avg Train Loss: 2.9156, Avg Validation Loss: 2.9237
Epoch 28, Avg Train Loss: 2.9110, Avg Validation Loss: 2.9187
Epoch 29, Avg Train Loss: 2.9066, Avg Validation Loss: 2.9145
Epoch 30, Avg Train Loss: 2.9033, Avg Validation Loss: 2.9111
Epoch 31, Avg Train Loss: 2.9003, Avg Validation Loss: 2.9081
Epoch 32, Avg Train Loss: 2.8978, Avg Validation Loss: 2.9055
Epoch 33, Avg Train Loss: 2.8967, Avg Validation Loss: 2.9033
Epoch 34, Avg Train Loss: 2.8938, Avg Validation Loss: 2.9014
Epoch 35, Avg Train Loss: 2.8921, Avg Validation Loss: 2.8996
Epoch 36, Avg Train Loss: 2.8905, Avg Validation Loss: 2.8981
Epoch 37, Avg Train Loss: 2.8896, Avg Validation Loss: 2.8966
Epoch 38, Avg Train Loss: 2.8871, Avg Validation Loss: 2.8954
Epoch 39, Avg Train Loss: 2.8863, Avg Validation Loss: 2.8940
Epoch 40, Avg Train Loss: 2.8850, Avg Validation Loss: 2.8929
Epoch 41, Avg Train Loss: 2.8843, Avg Validation Loss: 2.8917
Epoch 42, Avg Train Loss: 2.8826, Avg Validation Loss: 2.8907
Epoch 43, Avg Train Loss: 2.8813, Avg Validation Loss: 2.8896
Epoch 44, Avg Train Loss: 2.8804, Avg Validation Loss: 2.8887
Epoch 45, Avg Train Loss: 2.8795, Avg Validation Loss: 2.8877
Epoch 46, Avg Train Loss: 2.8790, Avg Validation Loss: 2.8867
Epoch 47, Avg Train Loss: 2.8774, Avg Validation Loss: 2.8859
Epoch 48, Avg Train Loss: 2.8771, Avg Validation Loss: 2.8849
Epoch 49, Avg Train Loss: 2.8752, Avg Validation Loss: 2.8842
Epoch 50, Avg Train Loss: 2.8747, Avg Validation Loss: 2.8831
Epoch 51, Avg Train Loss: 2.8741, Avg Validation Loss: 2.8824
Epoch 52, Avg Train Loss: 2.8728, Avg Validation Loss: 2.8814
Epoch 53, Avg Train Loss: 2.8723, Avg Validation Loss: 2.8807
Epoch 54, Avg Train Loss: 2.8708, Avg Validation Loss: 2.8800
Epoch 55, Avg Train Loss: 2.8697, Avg Validation Loss: 2.8791
Epoch 56, Avg Train Loss: 2.8696, Avg Validation Loss: 2.8783
Epoch 57, Avg Train Loss: 2.8685, Avg Validation Loss: 2.8775
Epoch 58, Avg Train Loss: 2.8679, Avg Validation Loss: 2.8769
Epoch 59, Avg Train Loss: 2.8666, Avg Validation Loss: 2.8760
Epoch 60, Avg Train Loss: 2.8663, Avg Validation Loss: 2.8752
Epoch 61, Avg Train Loss: 2.8654, Avg Validation Loss: 2.8749
Epoch 62, Avg Train Loss: 2.8639, Avg Validation Loss: 2.8739
Epoch 63, Avg Train Loss: 2.8638, Avg Validation Loss: 2.8731
Epoch 64, Avg Train Loss: 2.8636, Avg Validation Loss: 2.8725
Epoch 65, Avg Train Loss: 2.8622, Avg Validation Loss: 2.8720
Epoch 66, Avg Train Loss: 2.8616, Avg Validation Loss: 2.8714
Epoch 67, Avg Train Loss: 2.8604, Avg Validation Loss: 2.8708
Epoch 68, Avg Train Loss: 2.8602, Avg Validation Loss: 2.8701
Epoch 69, Avg Train Loss: 2.8590, Avg Validation Loss: 2.8697
Epoch 70, Avg Train Loss: 2.8589, Avg Validation Loss: 2.8695
Epoch 71, Avg Train Loss: 2.8572, Avg Validation Loss: 2.8684
Epoch 72, Avg Train Loss: 2.8570, Avg Validation Loss: 2.8680
Epoch 73, Avg Train Loss: 2.8562, Avg Validation Loss: 2.8675
Epoch 74, Avg Train Loss: 2.8558, Avg Validation Loss: 2.8668
Epoch 75, Avg Train Loss: 2.8551, Avg Validation Loss: 2.8671
Epoch 76, Avg Train Loss: 2.8548, Avg Validation Loss: 2.8659
Epoch 77, Avg Train Loss: 2.8543, Avg Validation Loss: 2.8652
Epoch 78, Avg Train Loss: 2.8538, Avg Validation Loss: 2.8651
Epoch 79, Avg Train Loss: 2.8529, Avg Validation Loss: 2.8643
Epoch 80, Avg Train Loss: 2.8525, Avg Validation Loss: 2.8648
Epoch 81, Avg Train Loss: 2.8521, Avg Validation Loss: 2.8635
Epoch 82, Avg Train Loss: 2.8518, Avg Validation Loss: 2.8628
Epoch 83, Avg Train Loss: 2.8515, Avg Validation Loss: 2.8629
Epoch 84, Avg Train Loss: 2.8506, Avg Validation Loss: 2.8626
Epoch 85, Avg Train Loss: 2.8500, Avg Validation Loss: 2.8616
Epoch 86, Avg Train Loss: 2.8496, Avg Validation Loss: 2.8614
Epoch 87, Avg Train Loss: 2.8488, Avg Validation Loss: 2.8610
Epoch 88, Avg Train Loss: 2.8488, Avg Validation Loss: 2.8610
Epoch 89, Avg Train Loss: 2.8488, Avg Validation Loss: 2.8603
Epoch 90, Avg Train Loss: 2.8482, Avg Validation Loss: 2.8597
Epoch 91, Avg Train Loss: 2.8473, Avg Validation Loss: 2.8594
Epoch 92, Avg Train Loss: 2.8469, Avg Validation Loss: 2.8589
Epoch 93, Avg Train Loss: 2.8462, Avg Validation Loss: 2.8586
Epoch 94, Avg Train Loss: 2.8462, Avg Validation Loss: 2.8581
Epoch 95, Avg Train Loss: 2.8457, Avg Validation Loss: 2.8578
Epoch 96, Avg Train Loss: 2.8458, Avg Validation Loss: 2.8578
Epoch 97, Avg Train Loss: 2.8458, Avg Validation Loss: 2.8572
Epoch 98, Avg Train Loss: 2.8454, Avg Validation Loss: 2.8570
Epoch 99, Avg Train Loss: 2.8448, Avg Validation Loss: 2.8569
Epoch 100, Avg Train Loss: 2.8442, Avg Validation Loss: 2.8566
Epoch 101, Avg Train Loss: 2.8442, Avg Validation Loss: 2.8568
Epoch 102, Avg Train Loss: 2.8435, Avg Validation Loss: 2.8559
Epoch 103, Avg Train Loss: 2.8432, Avg Validation Loss: 2.8557
Epoch 104, Avg Train Loss: 2.8431, Avg Validation Loss: 2.8555
Epoch 105, Avg Train Loss: 2.8426, Avg Validation Loss: 2.8558
Epoch 106, Avg Train Loss: 2.8428, Avg Validation Loss: 2.8555
Epoch 107, Avg Train Loss: 2.8423, Avg Validation Loss: 2.8552
Epoch 108, Avg Train Loss: 2.8424, Avg Validation Loss: 2.8547
Epoch 109, Avg Train Loss: 2.8416, Avg Validation Loss: 2.8547
Epoch 110, Avg Train Loss: 2.8417, Avg Validation Loss: 2.8549
Epoch 111, Avg Train Loss: 2.8416, Avg Validation Loss: 2.8541
Epoch 112, Avg Train Loss: 2.8413, Avg Validation Loss: 2.8539
Epoch 113, Avg Train Loss: 2.8412, Avg Validation Loss: 2.8539
Epoch 114, Avg Train Loss: 2.8409, Avg Validation Loss: 2.8540
Epoch 115, Avg Train Loss: 2.8404, Avg Validation Loss: 2.8537
Epoch 116, Avg Train Loss: 2.8399, Avg Validation Loss: 2.8542
Epoch 117, Avg Train Loss: 2.8407, Avg Validation Loss: 2.8538
Epoch 118, Avg Train Loss: 2.8405, Avg Validation Loss: 2.8534
Epoch 119, Avg Train Loss: 2.8399, Avg Validation Loss: 2.8530
Epoch 120, Avg Train Loss: 2.8399, Avg Validation Loss: 2.8531
Epoch 121, Avg Train Loss: 2.8397, Avg Validation Loss: 2.8533
