/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_2_4_16_6_857749
Epoch 0, Avg Train Loss: 5.8391, Avg Validation Loss: 5.7158
Epoch 1, Avg Train Loss: 5.6397, Avg Validation Loss: 5.5350
Epoch 2, Avg Train Loss: 5.4690, Avg Validation Loss: 5.3751
Epoch 3, Avg Train Loss: 5.3148, Avg Validation Loss: 5.2276
Epoch 4, Avg Train Loss: 5.1713, Avg Validation Loss: 5.0894
Epoch 5, Avg Train Loss: 5.0360, Avg Validation Loss: 4.9582
Epoch 6, Avg Train Loss: 4.9077, Avg Validation Loss: 4.8336
Epoch 7, Avg Train Loss: 4.7851, Avg Validation Loss: 4.7144
Epoch 8, Avg Train Loss: 4.6679, Avg Validation Loss: 4.6001
Epoch 9, Avg Train Loss: 4.5560, Avg Validation Loss: 4.4907
Epoch 10, Avg Train Loss: 4.4481, Avg Validation Loss: 4.3855
Epoch 11, Avg Train Loss: 4.3445, Avg Validation Loss: 4.2841
Epoch 12, Avg Train Loss: 4.2449, Avg Validation Loss: 4.1865
Epoch 13, Avg Train Loss: 4.1491, Avg Validation Loss: 4.0922
Epoch 14, Avg Train Loss: 4.0558, Avg Validation Loss: 4.0013
Epoch 15, Avg Train Loss: 3.9662, Avg Validation Loss: 3.9136
Epoch 16, Avg Train Loss: 3.8800, Avg Validation Loss: 3.8293
Epoch 17, Avg Train Loss: 3.7977, Avg Validation Loss: 3.7487
Epoch 18, Avg Train Loss: 3.7179, Avg Validation Loss: 3.6715
Epoch 19, Avg Train Loss: 3.6418, Avg Validation Loss: 3.5980
Epoch 20, Avg Train Loss: 3.5708, Avg Validation Loss: 3.5286
Epoch 21, Avg Train Loss: 3.5032, Avg Validation Loss: 3.4633
Epoch 22, Avg Train Loss: 3.4402, Avg Validation Loss: 3.4024
Epoch 23, Avg Train Loss: 3.3811, Avg Validation Loss: 3.3458
Epoch 24, Avg Train Loss: 3.3262, Avg Validation Loss: 3.2934
Epoch 25, Avg Train Loss: 3.2763, Avg Validation Loss: 3.2456
Epoch 26, Avg Train Loss: 3.2312, Avg Validation Loss: 3.2020
Epoch 27, Avg Train Loss: 3.1894, Avg Validation Loss: 3.1629
Epoch 28, Avg Train Loss: 3.1526, Avg Validation Loss: 3.1280
Epoch 29, Avg Train Loss: 3.1195, Avg Validation Loss: 3.0969
Epoch 30, Avg Train Loss: 3.0908, Avg Validation Loss: 3.0695
Epoch 31, Avg Train Loss: 3.0647, Avg Validation Loss: 3.0454
Epoch 32, Avg Train Loss: 3.0424, Avg Validation Loss: 3.0243
Epoch 33, Avg Train Loss: 3.0224, Avg Validation Loss: 3.0060
Epoch 34, Avg Train Loss: 3.0047, Avg Validation Loss: 2.9900
Epoch 35, Avg Train Loss: 2.9910, Avg Validation Loss: 2.9763
Epoch 36, Avg Train Loss: 2.9778, Avg Validation Loss: 2.9644
Epoch 37, Avg Train Loss: 2.9662, Avg Validation Loss: 2.9539
Epoch 38, Avg Train Loss: 2.9573, Avg Validation Loss: 2.9448
Epoch 39, Avg Train Loss: 2.9470, Avg Validation Loss: 2.9369
Epoch 40, Avg Train Loss: 2.9403, Avg Validation Loss: 2.9300
Epoch 41, Avg Train Loss: 2.9340, Avg Validation Loss: 2.9237
Epoch 42, Avg Train Loss: 2.9270, Avg Validation Loss: 2.9183
Epoch 43, Avg Train Loss: 2.9231, Avg Validation Loss: 2.9133
Epoch 44, Avg Train Loss: 2.9175, Avg Validation Loss: 2.9089
Epoch 45, Avg Train Loss: 2.9133, Avg Validation Loss: 2.9048
Epoch 46, Avg Train Loss: 2.9090, Avg Validation Loss: 2.9011
Epoch 47, Avg Train Loss: 2.9054, Avg Validation Loss: 2.8978
Epoch 48, Avg Train Loss: 2.9019, Avg Validation Loss: 2.8947
Epoch 49, Avg Train Loss: 2.8993, Avg Validation Loss: 2.8920
Epoch 50, Avg Train Loss: 2.8980, Avg Validation Loss: 2.8892
Epoch 51, Avg Train Loss: 2.8947, Avg Validation Loss: 2.8869
Epoch 52, Avg Train Loss: 2.8926, Avg Validation Loss: 2.8847
Epoch 53, Avg Train Loss: 2.8901, Avg Validation Loss: 2.8826
Epoch 54, Avg Train Loss: 2.8878, Avg Validation Loss: 2.8807
Epoch 55, Avg Train Loss: 2.8851, Avg Validation Loss: 2.8789
Epoch 56, Avg Train Loss: 2.8831, Avg Validation Loss: 2.8769
Epoch 57, Avg Train Loss: 2.8810, Avg Validation Loss: 2.8753
Epoch 58, Avg Train Loss: 2.8797, Avg Validation Loss: 2.8735
Epoch 59, Avg Train Loss: 2.8772, Avg Validation Loss: 2.8720
Epoch 60, Avg Train Loss: 2.8767, Avg Validation Loss: 2.8703
Epoch 61, Avg Train Loss: 2.8748, Avg Validation Loss: 2.8689
Epoch 62, Avg Train Loss: 2.8736, Avg Validation Loss: 2.8676
Epoch 63, Avg Train Loss: 2.8710, Avg Validation Loss: 2.8660
Epoch 64, Avg Train Loss: 2.8698, Avg Validation Loss: 2.8647
Epoch 65, Avg Train Loss: 2.8683, Avg Validation Loss: 2.8632
Epoch 66, Avg Train Loss: 2.8665, Avg Validation Loss: 2.8618
Epoch 67, Avg Train Loss: 2.8645, Avg Validation Loss: 2.8609
Epoch 68, Avg Train Loss: 2.8639, Avg Validation Loss: 2.8597
Epoch 69, Avg Train Loss: 2.8624, Avg Validation Loss: 2.8586
Epoch 70, Avg Train Loss: 2.8621, Avg Validation Loss: 2.8574
Epoch 71, Avg Train Loss: 2.8617, Avg Validation Loss: 2.8566
Epoch 72, Avg Train Loss: 2.8604, Avg Validation Loss: 2.8558
Epoch 73, Avg Train Loss: 2.8593, Avg Validation Loss: 2.8549
