/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_8_8_50_10_81343
Epoch 0, Avg Train Loss: 6.6365, Avg Validation Loss: 5.6651
Epoch 1, Avg Train Loss: 5.0770, Avg Validation Loss: 4.2962
Epoch 2, Avg Train Loss: 3.9074, Avg Validation Loss: 3.6695
Epoch 3, Avg Train Loss: 3.5347, Avg Validation Loss: 3.3160
Epoch 4, Avg Train Loss: 3.1885, Avg Validation Loss: 3.0047
Epoch 5, Avg Train Loss: 2.9542, Avg Validation Loss: 2.8456
Epoch 6, Avg Train Loss: 2.8410, Avg Validation Loss: 2.7535
Epoch 7, Avg Train Loss: 2.7595, Avg Validation Loss: 2.6812
Epoch 8, Avg Train Loss: 2.6919, Avg Validation Loss: 2.6232
Epoch 9, Avg Train Loss: 2.6329, Avg Validation Loss: 2.5588
Epoch 10, Avg Train Loss: 2.5713, Avg Validation Loss: 2.5028
Epoch 11, Avg Train Loss: 2.5351, Avg Validation Loss: 2.4833
Epoch 12, Avg Train Loss: 2.5067, Avg Validation Loss: 2.4461
Epoch 13, Avg Train Loss: 2.4858, Avg Validation Loss: 2.4284
Epoch 14, Avg Train Loss: 2.4708, Avg Validation Loss: 2.4156
Epoch 15, Avg Train Loss: 2.4595, Avg Validation Loss: 2.4100
Epoch 16, Avg Train Loss: 2.4487, Avg Validation Loss: 2.3930
Epoch 17, Avg Train Loss: 2.4413, Avg Validation Loss: 2.3869
Epoch 18, Avg Train Loss: 2.4309, Avg Validation Loss: 2.3737
Epoch 19, Avg Train Loss: 2.4246, Avg Validation Loss: 2.3677
Epoch 20, Avg Train Loss: 2.4161, Avg Validation Loss: 2.3657
Epoch 21, Avg Train Loss: 2.4113, Avg Validation Loss: 2.3592
Epoch 22, Avg Train Loss: 2.4049, Avg Validation Loss: 2.3635
Epoch 23, Avg Train Loss: 2.4024, Avg Validation Loss: 2.3494
Epoch 24, Avg Train Loss: 2.3965, Avg Validation Loss: 2.3502
Epoch 25, Avg Train Loss: 2.3916, Avg Validation Loss: 2.3474
Epoch 26, Avg Train Loss: 2.3911, Avg Validation Loss: 2.3418
Epoch 27, Avg Train Loss: 2.3852, Avg Validation Loss: 2.3443
Epoch 28, Avg Train Loss: 2.3840, Avg Validation Loss: 2.3405
Epoch 29, Avg Train Loss: 2.3784, Avg Validation Loss: 2.3307
Epoch 30, Avg Train Loss: 2.3753, Avg Validation Loss: 2.3275
Epoch 31, Avg Train Loss: 2.3709, Avg Validation Loss: 2.3258
Epoch 32, Avg Train Loss: 2.3693, Avg Validation Loss: 2.3233
Epoch 33, Avg Train Loss: 2.3653, Avg Validation Loss: 2.3243
Epoch 34, Avg Train Loss: 2.3619, Avg Validation Loss: 2.3180
Epoch 35, Avg Train Loss: 2.3611, Avg Validation Loss: 2.3171
Epoch 36, Avg Train Loss: 2.3572, Avg Validation Loss: 2.3194
Epoch 37, Avg Train Loss: 2.3548, Avg Validation Loss: 2.3116
Epoch 38, Avg Train Loss: 2.3527, Avg Validation Loss: 2.3139
Epoch 39, Avg Train Loss: 2.3532, Avg Validation Loss: 2.3090
Epoch 40, Avg Train Loss: 2.3494, Avg Validation Loss: 2.3116
Epoch 41, Avg Train Loss: 2.3468, Avg Validation Loss: 2.3100
Epoch 42, Avg Train Loss: 2.3486, Avg Validation Loss: 2.3189
Epoch 43, Avg Train Loss: 2.3424, Avg Validation Loss: 2.3056
Epoch 44, Avg Train Loss: 2.3417, Avg Validation Loss: 2.3012
Epoch 45, Avg Train Loss: 2.3431, Avg Validation Loss: 2.3056
Epoch 46, Avg Train Loss: 2.3409, Avg Validation Loss: 2.3005
Epoch 47, Avg Train Loss: 2.3369, Avg Validation Loss: 2.3040
Epoch 48, Avg Train Loss: 2.3359, Avg Validation Loss: 2.2963
Epoch 49, Avg Train Loss: 2.3331, Avg Validation Loss: 2.3020
Epoch 50, Avg Train Loss: 2.3344, Avg Validation Loss: 2.2979
Epoch 51, Avg Train Loss: 2.3315, Avg Validation Loss: 2.2966
Epoch 52, Avg Train Loss: 2.3321, Avg Validation Loss: 2.2969
Epoch 53, Avg Train Loss: 2.3313, Avg Validation Loss: 2.3013
Epoch 54, Avg Train Loss: 2.3279, Avg Validation Loss: 2.2982
Epoch 55, Avg Train Loss: 2.3298, Avg Validation Loss: 2.2916
Epoch 56, Avg Train Loss: 2.3269, Avg Validation Loss: 2.3010
Epoch 57, Avg Train Loss: 2.3253, Avg Validation Loss: 2.2928
Epoch 58, Avg Train Loss: 2.3238, Avg Validation Loss: 2.2932
Epoch 59, Avg Train Loss: 2.3216, Avg Validation Loss: 2.2938
Epoch 60, Avg Train Loss: 2.3230, Avg Validation Loss: 2.2895
Epoch 61, Avg Train Loss: 2.3205, Avg Validation Loss: 2.2891
Epoch 62, Avg Train Loss: 2.3207, Avg Validation Loss: 2.2898
Epoch 63, Avg Train Loss: 2.3202, Avg Validation Loss: 2.2862
Epoch 64, Avg Train Loss: 2.3189, Avg Validation Loss: 2.2950
Epoch 65, Avg Train Loss: 2.3176, Avg Validation Loss: 2.2916
Epoch 66, Avg Train Loss: 2.3179, Avg Validation Loss: 2.2886
Epoch 67, Avg Train Loss: 2.3145, Avg Validation Loss: 2.2915
Epoch 68, Avg Train Loss: 2.3149, Avg Validation Loss: 2.2857
Epoch 69, Avg Train Loss: 2.3141, Avg Validation Loss: 2.2997
Epoch 70, Avg Train Loss: 2.3186, Avg Validation Loss: 2.2933
Epoch 71, Avg Train Loss: 2.3151, Avg Validation Loss: 2.2881
Epoch 72, Avg Train Loss: 2.3126, Avg Validation Loss: 2.2826
Epoch 73, Avg Train Loss: 2.3110, Avg Validation Loss: 2.2887
Epoch 74, Avg Train Loss: 2.3157, Avg Validation Loss: 2.2809
Epoch 75, Avg Train Loss: 2.3123, Avg Validation Loss: 2.2851
Epoch 76, Avg Train Loss: 2.3111, Avg Validation Loss: 2.2779
Epoch 77, Avg Train Loss: 2.3075, Avg Validation Loss: 2.2828
Epoch 78, Avg Train Loss: 2.3116, Avg Validation Loss: 2.2806
Epoch 79, Avg Train Loss: 2.3087, Avg Validation Loss: 2.2788
Epoch 80, Avg Train Loss: 2.3096, Avg Validation Loss: 2.2817
Epoch 81, Avg Train Loss: 2.3129, Avg Validation Loss: 2.2876
Epoch 82, Avg Train Loss: 2.3088, Avg Validation Loss: 2.2858
Epoch 83, Avg Train Loss: 2.3081, Avg Validation Loss: 2.2851
Epoch 84, Avg Train Loss: 2.3098, Avg Validation Loss: 2.2958
Epoch 85, Avg Train Loss: 2.3112, Avg Validation Loss: 2.2959
Early stopping triggered
Best model loaded successfully.
KL divergence saved successfully.
KL divergence saved successfully.
