/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_4_6_50_10_best_model_157175
Epoch 0, Avg Train Loss: 22.1982, Avg Validation Loss: 15.7037
Epoch 1, Avg Train Loss: 11.9754, Avg Validation Loss: 8.5637
Epoch 2, Avg Train Loss: 6.9101, Avg Validation Loss: 5.6503
Epoch 3, Avg Train Loss: 5.1307, Avg Validation Loss: 4.6325
Epoch 4, Avg Train Loss: 4.3996, Avg Validation Loss: 4.1219
Epoch 5, Avg Train Loss: 3.9962, Avg Validation Loss: 3.8070
Epoch 6, Avg Train Loss: 3.7276, Avg Validation Loss: 3.5855
Epoch 7, Avg Train Loss: 3.5336, Avg Validation Loss: 3.4210
Epoch 8, Avg Train Loss: 3.3841, Avg Validation Loss: 3.2941
Epoch 9, Avg Train Loss: 3.2678, Avg Validation Loss: 3.1892
Epoch 10, Avg Train Loss: 3.1691, Avg Validation Loss: 3.1002
Epoch 11, Avg Train Loss: 3.0849, Avg Validation Loss: 3.0229
Epoch 12, Avg Train Loss: 3.0148, Avg Validation Loss: 2.9614
Epoch 13, Avg Train Loss: 2.9582, Avg Validation Loss: 2.9088
Epoch 14, Avg Train Loss: 2.9087, Avg Validation Loss: 2.8627
Epoch 15, Avg Train Loss: 2.8639, Avg Validation Loss: 2.8225
Epoch 16, Avg Train Loss: 2.8253, Avg Validation Loss: 2.7839
Epoch 17, Avg Train Loss: 2.7875, Avg Validation Loss: 2.7481
Epoch 18, Avg Train Loss: 2.7572, Avg Validation Loss: 2.7182
Epoch 19, Avg Train Loss: 2.7298, Avg Validation Loss: 2.6907
Epoch 20, Avg Train Loss: 2.7036, Avg Validation Loss: 2.6635
Epoch 21, Avg Train Loss: 2.6770, Avg Validation Loss: 2.6366
Epoch 22, Avg Train Loss: 2.6506, Avg Validation Loss: 2.6113
Epoch 23, Avg Train Loss: 2.6273, Avg Validation Loss: 2.5868
Epoch 24, Avg Train Loss: 2.6013, Avg Validation Loss: 2.5626
Epoch 25, Avg Train Loss: 2.5775, Avg Validation Loss: 2.5364
