/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_5e-6_lr_3_layers_3_transformations_50_neurons_10_bins_512_batch_size_CosineLRsheduler_337508
Epoch 0, Avg Train Loss: 3.6747, Avg Validation Loss: 2.9645
Epoch 1, Avg Train Loss: 2.8113, Avg Validation Loss: 2.6957
Epoch 2, Avg Train Loss: 2.6150, Avg Validation Loss: 2.5526
Epoch 3, Avg Train Loss: 2.5153, Avg Validation Loss: 2.4874
Epoch 4, Avg Train Loss: 2.4687, Avg Validation Loss: 2.4549
Epoch 5, Avg Train Loss: 2.4517, Avg Validation Loss: 2.4380
Epoch 6, Avg Train Loss: 2.4381, Avg Validation Loss: 2.4265
Epoch 7, Avg Train Loss: 2.4279, Avg Validation Loss: 2.4175
Epoch 8, Avg Train Loss: 2.4212, Avg Validation Loss: 2.4110
Epoch 9, Avg Train Loss: 2.4151, Avg Validation Loss: 2.4067
Epoch 10, Avg Train Loss: 2.4095, Avg Validation Loss: 2.4013
Epoch 11, Avg Train Loss: 2.4053, Avg Validation Loss: 2.3972
Epoch 12, Avg Train Loss: 2.4001, Avg Validation Loss: 2.3911
Epoch 13, Avg Train Loss: 2.3955, Avg Validation Loss: 2.3869
Epoch 14, Avg Train Loss: 2.3921, Avg Validation Loss: 2.3881
Epoch 15, Avg Train Loss: 2.3893, Avg Validation Loss: 2.3819
Epoch 16, Avg Train Loss: 2.3838, Avg Validation Loss: 2.3758
Epoch 17, Avg Train Loss: 2.3799, Avg Validation Loss: 2.3730
Epoch 18, Avg Train Loss: 2.3762, Avg Validation Loss: 2.3695
Epoch 19, Avg Train Loss: 2.3734, Avg Validation Loss: 2.3645
Epoch 20, Avg Train Loss: 2.3704, Avg Validation Loss: 2.3670
Epoch 21, Avg Train Loss: 2.3686, Avg Validation Loss: 2.3582
Epoch 22, Avg Train Loss: 2.3631, Avg Validation Loss: 2.3554
Epoch 23, Avg Train Loss: 2.3590, Avg Validation Loss: 2.3534
Epoch 24, Avg Train Loss: 2.3560, Avg Validation Loss: 2.3526
Epoch 25, Avg Train Loss: 2.3566, Avg Validation Loss: 2.3550
Epoch 26, Avg Train Loss: 2.3513, Avg Validation Loss: 2.3438
Epoch 27, Avg Train Loss: 2.3467, Avg Validation Loss: 2.3409
Epoch 28, Avg Train Loss: 2.3455, Avg Validation Loss: 2.3384
Epoch 29, Avg Train Loss: 2.3436, Avg Validation Loss: 2.3359
Epoch 30, Avg Train Loss: 2.3407, Avg Validation Loss: 2.3363
Epoch 31, Avg Train Loss: 2.3387, Avg Validation Loss: 2.3328
Epoch 32, Avg Train Loss: 2.3369, Avg Validation Loss: 2.3298
Epoch 33, Avg Train Loss: 2.3355, Avg Validation Loss: 2.3309
Epoch 34, Avg Train Loss: 2.3337, Avg Validation Loss: 2.3262
Epoch 35, Avg Train Loss: 2.3308, Avg Validation Loss: 2.3238
Epoch 36, Avg Train Loss: 2.3284, Avg Validation Loss: 2.3233
Epoch 37, Avg Train Loss: 2.3297, Avg Validation Loss: 2.3239
Epoch 38, Avg Train Loss: 2.3256, Avg Validation Loss: 2.3196
Epoch 39, Avg Train Loss: 2.3246, Avg Validation Loss: 2.3213
Epoch 40, Avg Train Loss: 2.3257, Avg Validation Loss: 2.3167
Epoch 41, Avg Train Loss: 2.3221, Avg Validation Loss: 2.3174
Epoch 42, Avg Train Loss: 2.3211, Avg Validation Loss: 2.3135
Epoch 43, Avg Train Loss: 2.3233, Avg Validation Loss: 2.3160
Epoch 44, Avg Train Loss: 2.3200, Avg Validation Loss: 2.3119
Epoch 45, Avg Train Loss: 2.3186, Avg Validation Loss: 2.3129
Epoch 46, Avg Train Loss: 2.3180, Avg Validation Loss: 2.3094
Epoch 47, Avg Train Loss: 2.3156, Avg Validation Loss: 2.3098
Epoch 48, Avg Train Loss: 2.3155, Avg Validation Loss: 2.3084
Epoch 49, Avg Train Loss: 2.3131, Avg Validation Loss: 2.3068
Epoch 50, Avg Train Loss: 2.3125, Avg Validation Loss: 2.3113
Epoch 51, Avg Train Loss: 2.3124, Avg Validation Loss: 2.3052
Epoch 52, Avg Train Loss: 2.3137, Avg Validation Loss: 2.3059
Epoch 53, Avg Train Loss: 2.3099, Avg Validation Loss: 2.3044
Epoch 54, Avg Train Loss: 2.3104, Avg Validation Loss: 2.3042
Epoch 55, Avg Train Loss: 2.3085, Avg Validation Loss: 2.3035
Epoch 56, Avg Train Loss: 2.3078, Avg Validation Loss: 2.3015
Epoch 57, Avg Train Loss: 2.3093, Avg Validation Loss: 2.3019
Epoch 58, Avg Train Loss: 2.3081, Avg Validation Loss: 2.3019
Epoch 59, Avg Train Loss: 2.3062, Avg Validation Loss: 2.3004
Epoch 60, Avg Train Loss: 2.3072, Avg Validation Loss: 2.2990
Epoch 61, Avg Train Loss: 2.3053, Avg Validation Loss: 2.3032
Epoch 62, Avg Train Loss: 2.3071, Avg Validation Loss: 2.2979
Epoch 63, Avg Train Loss: 2.3090, Avg Validation Loss: 2.2984
Epoch 64, Avg Train Loss: 2.3068, Avg Validation Loss: 2.2982
Epoch 65, Avg Train Loss: 2.3041, Avg Validation Loss: 2.3012
Epoch 66, Avg Train Loss: 2.3032, Avg Validation Loss: 2.2970
Epoch 67, Avg Train Loss: 2.3037, Avg Validation Loss: 2.2953
Epoch 68, Avg Train Loss: 2.3040, Avg Validation Loss: 2.2961
Epoch 69, Avg Train Loss: 2.3023, Avg Validation Loss: 2.2971
Epoch 70, Avg Train Loss: 2.3029, Avg Validation Loss: 2.2959
Epoch 71, Avg Train Loss: 2.3023, Avg Validation Loss: 2.2949
Epoch 72, Avg Train Loss: 2.3007, Avg Validation Loss: 2.2949
Epoch 73, Avg Train Loss: 2.3001, Avg Validation Loss: 2.2944
Epoch 74, Avg Train Loss: 2.3015, Avg Validation Loss: 2.2939
Epoch 75, Avg Train Loss: 2.3001, Avg Validation Loss: 2.2946
Epoch 76, Avg Train Loss: 2.2992, Avg Validation Loss: 2.2927
Epoch 77, Avg Train Loss: 2.3004, Avg Validation Loss: 2.2938
Epoch 78, Avg Train Loss: 2.2996, Avg Validation Loss: 2.2915
Epoch 79, Avg Train Loss: 2.2992, Avg Validation Loss: 2.2952
Epoch 80, Avg Train Loss: 2.2981, Avg Validation Loss: 2.2939
Epoch 81, Avg Train Loss: 2.2993, Avg Validation Loss: 2.2926
Epoch 82, Avg Train Loss: 2.2971, Avg Validation Loss: 2.2951
Epoch 83, Avg Train Loss: 2.2987, Avg Validation Loss: 2.2903
Epoch 84, Avg Train Loss: 2.2966, Avg Validation Loss: 2.2892
Epoch 85, Avg Train Loss: 2.2968, Avg Validation Loss: 2.2936
Epoch 86, Avg Train Loss: 2.2978, Avg Validation Loss: 2.2934
Epoch 87, Avg Train Loss: 2.2949, Avg Validation Loss: 2.2914
Epoch 88, Avg Train Loss: 2.2955, Avg Validation Loss: 2.2895
Epoch 89, Avg Train Loss: 2.3001, Avg Validation Loss: 2.2922
Epoch 90, Avg Train Loss: 2.2941, Avg Validation Loss: 2.2887
Epoch 91, Avg Train Loss: 2.2943, Avg Validation Loss: 2.2906
Epoch 92, Avg Train Loss: 2.2942, Avg Validation Loss: 2.2973
Epoch 93, Avg Train Loss: 2.2943, Avg Validation Loss: 2.2886
Epoch 94, Avg Train Loss: 2.2942, Avg Validation Loss: 2.2886
Epoch 95, Avg Train Loss: 2.2929, Avg Validation Loss: 2.2885
Epoch 96, Avg Train Loss: 2.2947, Avg Validation Loss: 2.2901
Epoch 97, Avg Train Loss: 2.2940, Avg Validation Loss: 2.2867
Epoch 98, Avg Train Loss: 2.2967, Avg Validation Loss: 2.2936
Epoch 99, Avg Train Loss: 2.2930, Avg Validation Loss: 2.2899
Epoch 100, Avg Train Loss: 2.2951, Avg Validation Loss: 2.2880
Epoch 101, Avg Train Loss: 2.2952, Avg Validation Loss: 2.2875
Epoch 102, Avg Train Loss: 2.2923, Avg Validation Loss: 2.2876
Epoch 103, Avg Train Loss: 2.2914, Avg Validation Loss: 2.2870
Epoch 104, Avg Train Loss: 2.2928, Avg Validation Loss: 2.2867
Epoch 105, Avg Train Loss: 2.2917, Avg Validation Loss: 2.2856
Epoch 106, Avg Train Loss: 2.2918, Avg Validation Loss: 2.2874
Epoch 107, Avg Train Loss: 2.2920, Avg Validation Loss: 2.2881
Epoch 108, Avg Train Loss: 2.2935, Avg Validation Loss: 2.2859
Epoch 109, Avg Train Loss: 2.2904, Avg Validation Loss: 2.2858
Epoch 110, Avg Train Loss: 2.2894, Avg Validation Loss: 2.2872
Epoch 111, Avg Train Loss: 2.2916, Avg Validation Loss: 2.2838
Epoch 112, Avg Train Loss: 2.2911, Avg Validation Loss: 2.2865
Epoch 113, Avg Train Loss: 2.2912, Avg Validation Loss: 2.2841
Epoch 114, Avg Train Loss: 2.2901, Avg Validation Loss: 2.2852
Epoch 115, Avg Train Loss: 2.2905, Avg Validation Loss: 2.2845
Epoch 116, Avg Train Loss: 2.2902, Avg Validation Loss: 2.2840
Epoch 117, Avg Train Loss: 2.2912, Avg Validation Loss: 2.2839
Epoch 118, Avg Train Loss: 2.2898, Avg Validation Loss: 2.2872
Epoch 119, Avg Train Loss: 2.2886, Avg Validation Loss: 2.2830
Epoch 120, Avg Train Loss: 2.2885, Avg Validation Loss: 2.2849
Epoch 121, Avg Train Loss: 2.2897, Avg Validation Loss: 2.2823
Epoch 122, Avg Train Loss: 2.2912, Avg Validation Loss: 2.2846
Epoch 123, Avg Train Loss: 2.2899, Avg Validation Loss: 2.2841
Epoch 124, Avg Train Loss: 2.2880, Avg Validation Loss: 2.2886
Epoch 125, Avg Train Loss: 2.2883, Avg Validation Loss: 2.2827
Epoch 126, Avg Train Loss: 2.2872, Avg Validation Loss: 2.2815
Epoch 127, Avg Train Loss: 2.2873, Avg Validation Loss: 2.2819
Epoch 128, Avg Train Loss: 2.2913, Avg Validation Loss: 2.2860
Epoch 129, Avg Train Loss: 2.2925, Avg Validation Loss: 2.2869
Epoch 130, Avg Train Loss: 2.2882, Avg Validation Loss: 2.2846
Epoch 131, Avg Train Loss: 2.2881, Avg Validation Loss: 2.2826
Epoch 132, Avg Train Loss: 2.2884, Avg Validation Loss: 2.2883
Epoch 133, Avg Train Loss: 2.2903, Avg Validation Loss: 2.2822
Epoch 134, Avg Train Loss: 2.2877, Avg Validation Loss: 2.2811
Epoch 135, Avg Train Loss: 2.2864, Avg Validation Loss: 2.2822
Epoch 136, Avg Train Loss: 2.2859, Avg Validation Loss: 2.2844
Epoch 137, Avg Train Loss: 2.2859, Avg Validation Loss: 2.2803
Epoch 138, Avg Train Loss: 2.2863, Avg Validation Loss: 2.2839
Epoch 139, Avg Train Loss: 2.2853, Avg Validation Loss: 2.2808
Epoch 140, Avg Train Loss: 2.2880, Avg Validation Loss: 2.2815
Epoch 141, Avg Train Loss: 2.2872, Avg Validation Loss: 2.2858
Epoch 142, Avg Train Loss: 2.2865, Avg Validation Loss: 2.2837
Epoch 143, Avg Train Loss: 2.2902, Avg Validation Loss: 2.2898
Epoch 144, Avg Train Loss: 2.2859, Avg Validation Loss: 2.2811
Epoch 145, Avg Train Loss: 2.2884, Avg Validation Loss: 2.2840
Epoch 146, Avg Train Loss: 2.2864, Avg Validation Loss: 2.2841
Epoch 147, Avg Train Loss: 2.2844, Avg Validation Loss: 2.2796
