/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_4_4_64_12_297461
Epoch 0, Avg Train Loss: 9.0745, Avg Validation Loss: 7.6188
Epoch 1, Avg Train Loss: 6.8302, Avg Validation Loss: 6.1421
Epoch 2, Avg Train Loss: 5.6971, Avg Validation Loss: 5.2812
Epoch 3, Avg Train Loss: 4.9876, Avg Validation Loss: 4.7103
Epoch 4, Avg Train Loss: 4.5016, Avg Validation Loss: 4.2894
Epoch 5, Avg Train Loss: 4.1324, Avg Validation Loss: 3.9667
Epoch 6, Avg Train Loss: 3.8483, Avg Validation Loss: 3.7254
Epoch 7, Avg Train Loss: 3.6350, Avg Validation Loss: 3.5423
Epoch 8, Avg Train Loss: 3.4781, Avg Validation Loss: 3.4054
Epoch 9, Avg Train Loss: 3.3629, Avg Validation Loss: 3.3060
Epoch 10, Avg Train Loss: 3.2774, Avg Validation Loss: 3.2301
Epoch 11, Avg Train Loss: 3.2101, Avg Validation Loss: 3.1730
Epoch 12, Avg Train Loss: 3.1593, Avg Validation Loss: 3.1263
Epoch 13, Avg Train Loss: 3.1169, Avg Validation Loss: 3.0890
Epoch 14, Avg Train Loss: 3.0839, Avg Validation Loss: 3.0607
Epoch 15, Avg Train Loss: 3.0588, Avg Validation Loss: 3.0381
Epoch 16, Avg Train Loss: 3.0410, Avg Validation Loss: 3.0187
Epoch 17, Avg Train Loss: 3.0209, Avg Validation Loss: 3.0023
Epoch 18, Avg Train Loss: 3.0049, Avg Validation Loss: 2.9870
Epoch 19, Avg Train Loss: 2.9928, Avg Validation Loss: 2.9735
Epoch 20, Avg Train Loss: 2.9813, Avg Validation Loss: 2.9628
Epoch 21, Avg Train Loss: 2.9712, Avg Validation Loss: 2.9532
Epoch 22, Avg Train Loss: 2.9622, Avg Validation Loss: 2.9454
Epoch 23, Avg Train Loss: 2.9549, Avg Validation Loss: 2.9379
Epoch 24, Avg Train Loss: 2.9462, Avg Validation Loss: 2.9317
Epoch 25, Avg Train Loss: 2.9409, Avg Validation Loss: 2.9258
Epoch 26, Avg Train Loss: 2.9358, Avg Validation Loss: 2.9207
Epoch 27, Avg Train Loss: 2.9305, Avg Validation Loss: 2.9159
Epoch 28, Avg Train Loss: 2.9257, Avg Validation Loss: 2.9121
Epoch 29, Avg Train Loss: 2.9214, Avg Validation Loss: 2.9082
Epoch 30, Avg Train Loss: 2.9182, Avg Validation Loss: 2.9049
Epoch 31, Avg Train Loss: 2.9140, Avg Validation Loss: 2.9016
Epoch 32, Avg Train Loss: 2.9109, Avg Validation Loss: 2.8986
Epoch 33, Avg Train Loss: 2.9085, Avg Validation Loss: 2.8957
Epoch 34, Avg Train Loss: 2.9053, Avg Validation Loss: 2.8936
Epoch 35, Avg Train Loss: 2.9018, Avg Validation Loss: 2.8916
Epoch 36, Avg Train Loss: 2.8998, Avg Validation Loss: 2.8892
Epoch 37, Avg Train Loss: 2.8965, Avg Validation Loss: 2.8874
Epoch 38, Avg Train Loss: 2.8948, Avg Validation Loss: 2.8854
Epoch 39, Avg Train Loss: 2.8928, Avg Validation Loss: 2.8840
Epoch 40, Avg Train Loss: 2.8909, Avg Validation Loss: 2.8820
Epoch 41, Avg Train Loss: 2.8888, Avg Validation Loss: 2.8803
Epoch 42, Avg Train Loss: 2.8863, Avg Validation Loss: 2.8786
Epoch 43, Avg Train Loss: 2.8852, Avg Validation Loss: 2.8766
Epoch 44, Avg Train Loss: 2.8838, Avg Validation Loss: 2.8751
Epoch 45, Avg Train Loss: 2.8820, Avg Validation Loss: 2.8735
Epoch 46, Avg Train Loss: 2.8795, Avg Validation Loss: 2.8721
Epoch 47, Avg Train Loss: 2.8785, Avg Validation Loss: 2.8711
Epoch 48, Avg Train Loss: 2.8776, Avg Validation Loss: 2.8693
Epoch 49, Avg Train Loss: 2.8761, Avg Validation Loss: 2.8684
Epoch 50, Avg Train Loss: 2.8745, Avg Validation Loss: 2.8668
Epoch 51, Avg Train Loss: 2.8735, Avg Validation Loss: 2.8652
Epoch 52, Avg Train Loss: 2.8723, Avg Validation Loss: 2.8640
Epoch 53, Avg Train Loss: 2.8707, Avg Validation Loss: 2.8625
Epoch 54, Avg Train Loss: 2.8694, Avg Validation Loss: 2.8612
Epoch 55, Avg Train Loss: 2.8686, Avg Validation Loss: 2.8617
Epoch 56, Avg Train Loss: 2.8667, Avg Validation Loss: 2.8595
Epoch 57, Avg Train Loss: 2.8668, Avg Validation Loss: 2.8600
Epoch 58, Avg Train Loss: 2.8650, Avg Validation Loss: 2.8588
Epoch 59, Avg Train Loss: 2.8641, Avg Validation Loss: 2.8570
Epoch 60, Avg Train Loss: 2.8639, Avg Validation Loss: 2.8565
